Link no,Name,S_LRP,S_Offset,S_Chainage,E_LRP,E_Offset,E_Chainage,Length (km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
N2-1,Katchpur-Tarabo (Int with R201),LRPS,0,0,LRP002,1147,2.313,2.313,239.0,4475.0,1996.0,3707.0,794.0,3417.0,446.0,3024.0,4643.0,567.0,409.0,942.0,0.0,23308.0,1351.0,24659.0,24659.0
N2-2,Tarabo(Int with R 201)-Barpa(Int. with Z1090 LGED Road),LRP002,1147,2.313,LRP006,900,6.076,3.763,227.0,4684.0,1904.0,1466.0,1026.0,1513.0,637.0,1458.0,3517.0,813.0,190.0,522.0,0.0,17245.0,712.0,17957.0,17957.0
N2-3,Barpa(Int. with Z1090 LGED Road)-Bhulta (Int.with R202),LRP006,900,6.076,LRP011,915,11.111,5.035,237.0,4415.0,1904.0,1451.0,1018.0,1422.0,659.0,1473.0,4094.0,1075.0,393.0,3205.0,0.0,17748.0,3598.0,21346.0,21346.0
N2-4,Bhulta (Int.with R202)-Bhulta (Int.with R203),LRP011,915,11.111,LRP011,1781,11.977,0.866,237.0,4415.0,1904.0,1451.0,1018.0,1422.0,659.0,1473.0,4094.0,1075.0,393.0,3205.0,0.0,17748.0,3598.0,21346.0,21346.0
N2-5,Bhulta (Int.with R203)-Panchdona (Int.with R301),LRP011,1781,11.977,LRP030,999,30.225,18.248,244.0,1432.0,1041.0,961.0,1220.0,1068.0,152.0,1098.0,3128.0,899.0,218.0,1142.0,0.0,11243.0,1360.0,12603.0,12603.0
N2-6,Panchdona-Shahepratap(Int.with R210),LRP030,999,30.225,LRP033,1280,33.536,3.311,70.0,1743.0,976.0,2192.0,437.0,1319.0,84.0,1392.0,2708.0,1305.0,304.0,651.0,0.0,12226.0,955.0,13181.0,13181.0
N2-7,Shahepratap(Int.with R210)-Itakhola(Int.with R211),LRP033,1280,33.536,LRP042,1831,43.097,9.561,70.0,1743.0,976.0,2192.0,437.0,1319.0,84.0,1392.0,2708.0,1305.0,304.0,651.0,0.0,12226.0,955.0,13181.0,13181.0
N2-8,Itakhola-Morgal (Int.with Z2042),LRP042,1831,43.097,LRP055,280,54.606,11.509,201.0,2039.0,974.0,1779.0,222.0,1030.0,242.0,859.0,2158.0,387.0,52.0,64.0,0.0,9891.0,116.0,10007.0,10007.0
N2-9,Morgal (Int.with Z2042)-Narayanpur (Int.with Z2032),LRP055,280,54.606,LRP064,621,63.969,9.363,436.0,1971.0,896.0,1936.0,87.0,1104.0,266.0,808.0,3037.0,610.0,153.0,489.0,0.0,11151.0,642.0,11793.0,11793.0
N2-10,Narayanpur (Int.with Z2032)-Bhairab (Int.with R360),LRP064,621,63.969,LRP069,2478,70.576,6.607,436.0,1971.0,896.0,1936.0,87.0,1104.0,266.0,808.0,3037.0,610.0,153.0,489.0,0.0,11151.0,642.0,11793.0,11793.0
N2-11,Bhairab (Int.with R360)-Ashuganj (Int.with Z2031),LRP069,2478,70.576,LRP069,5435,73.533,2.957,436.0,1971.0,896.0,1936.0,87.0,1104.0,266.0,808.0,3037.0,610.0,153.0,489.0,0.0,11151.0,642.0,11793.0,11793.0
N2-12,"Ashuganj (Int.with Z2031)-Kathirhat, Sarail (Int.with N102)",LRP069,5435,73.533,LRP086,710,85.823,12.290,329.0,1465.0,1081.0,1000.0,217.0,598.0,118.0,534.0,3351.0,690.0,389.0,843.0,0.0,9383.0,1232.0,10615.0,10615.0
N2-13,"Kathirhat, Sarail (Int.with N102)-Sarail (Int.with R220)",LRP086,710,85.823,LRP086,1300,86.413,0.590,205.0,2203.0,596.0,1632.0,294.0,1402.0,162.0,398.0,3816.0,331.0,164.0,443.0,0.0,11039.0,607.0,11646.0,11646.0
N2-14,Sarail (Int.with R220)-Jagadishpur(Int.with N204),LRP086,1300,86.413,LRP117,378,116.294,29.881,205.0,2203.0,596.0,1632.0,294.0,1402.0,162.0,398.0,3816.0,331.0,164.0,443.0,0.0,11039.0,607.0,11646.0,11646.0
N2-15,Jagadishpur(Int.with N204)-Shaistaganj (Int.with N204),LRP117,378,116.294,LRP142,278,141.309,25.015,270.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1170.0,493.0,53.0,79.0,0.0,8071.0,132.0,8203.0,8203.0
N2-16,Shaistaganj (Int.with N204)-Mirpur (Int.with N207),LRP142,278,141.309,LRP146,920,145.961,4.652,206.0,4176.0,708.0,1765.0,178.0,1494.0,298.0,1159.0,1975.0,721.0,170.0,415.0,0.0,12680.0,585.0,13265.0,13265.0
N2-17,Mirpur (Int.with N207)-Auskandi (Int.with R240),LRP146,920,145.961,LRP182,527,181.657,35.696,338.0,1131.0,391.0,888.0,54.0,964.0,296.0,1058.0,1784.0,325.0,68.0,162.0,33.0,7229.0,263.0,7492.0,7492.0
N2-18,Auskandi (Int.with R240)-Auskandi (Int.with R241),LRP182,527,181.657,LRP186,600,185.77,4.113,338.0,1131.0,391.0,888.0,54.0,964.0,296.0,1058.0,1784.0,325.0,68.0,162.0,33.0,7229.0,263.0,7492.0,7492.0
N2-19,Auskandi (Int.with R241)-Sherpur (Int.with N207),LRP186,600,185.77,LRP191,672,190.892,5.122,321.0,669.0,504.0,961.0,36.0,911.0,183.0,621.0,1932.0,386.0,197.0,353.0,6.0,6524.0,556.0,7080.0,7080.0
N2-20,Sherpur (Int.with N207)-Tajpur(Int.with Z2022),LRP191,672,190.892,LRP205,750,205.083,14.191,321.0,669.0,504.0,961.0,36.0,911.0,183.0,621.0,1932.0,386.0,197.0,353.0,6.0,6524.0,556.0,7080.0,7080.0
N2-21,Tajpur(Int.with Z2022)-Rashidpur(Int.with Z2016),LRP205,750,205.083,LRP216,414,215.832,10.749,198.0,1089.0,529.0,1163.0,412.0,1183.0,455.0,991.0,3948.0,846.0,329.0,546.0,0.0,10814.0,875.0,11689.0,11689.0
N2-22,Rashidpur(Int.with Z2016)-Int.with R283,LRP216,414,215.832,LRP224,571,224.044,8.212,198.0,1089.0,529.0,1163.0,412.0,1183.0,455.0,991.0,3948.0,846.0,329.0,546.0,0.0,10814.0,875.0,11689.0,11689.0
N2-23,Int.with R283-Chandipole (Int.with Z2013),LRP224,571,224.044,LRP225,900,225.373,1.329,83.0,613.0,573.0,441.0,405.0,1002.0,49.0,356.0,3665.0,447.0,367.0,579.0,0.0,7634.0,946.0,8580.0,8580.0
N2-24,Chandipole (Int.with Z2013)-Mominkhola (Int.with N208),LRP225,900,225.373,LRP226,2264,227.757,2.384,83.0,613.0,573.0,441.0,405.0,1002.0,49.0,356.0,3665.0,447.0,367.0,579.0,0.0,7634.0,946.0,8580.0,8580.0
N2-25,Mominkhola (Int.with N208)-Nayarpool(Int.with N206),LRP226,2264,227.757,LRP229,2095,229.888,2.131,83.0,613.0,573.0,441.0,405.0,1002.0,49.0,356.0,3665.0,447.0,367.0,579.0,0.0,7634.0,946.0,8580.0,8580.0
N2-26,Nayarpool(Int.with N206)-Int. with N210,LRP229,2095,229.888,LRP238,1040,237.923,8.035,466.0,1425.0,360.0,8.0,190.0,1010.0,119.0,337.0,653.0,525.0,139.0,328.0,0.0,5093.0,467.0,5560.0,5560.0
N2-27,Int. with N210-Darbast(Int. with Z2011),LRP238,1040,237.923,LRP263,129,262.122,24.199,466.0,1425.0,360.0,8.0,190.0,1010.0,119.0,337.0,653.0,525.0,139.0,328.0,0.0,5093.0,467.0,5560.0,5560.0
N2-28,Darbast(Int. with Z2011)-Tamabil(Int.with N212),LRP263,129,262.122,LRP282,1155,282.098,19.976,453.0,1322.0,435.0,7.0,269.0,910.0,131.0,335.0,874.0,372.0,203.0,356.0,0.0,5108.0,559.0,5667.0,5667.0
N2-29,Tamabil(Int.with N212)-Jaflong,LRP282,1155,282.098,LRP287,578,286.516,4.418,462.0,1142.0,427.0,17.0,264.0,817.0,131.0,318.0,753.0,412.0,186.0,311.0,0.0,4743.0,497.0,5240.0,5240.0
